Organisation Code,Legal Name,Trading Name,Is Rto,Rto Status,Registration Manager,Initial Registration Date,Registration Start Date,Registration End Date,Registration End Reason,Head Office Physical Address,Head office location state,Longitude,Latitude,ACN,ABNs,Rto Type,Urls
"	41056","3Bridges Community Limited","",True,"Current","ASQA",2014/12/11,2019/12/11,2026/12/10,"","1/72 Carwar Ave  Carss Park NSW 2221","NSW",151.117330000,-33.989860000,"607053127","96039601269","Community Based Adult Education Provider","http://www.3bridges.org.au"
"	70235","A GRADE EDUCATION AND TRAINING PTY LIMITED","",True,"Current","ASQA",2012/02/06,2017/07/24,2024/02/04,"","Suite 502 Level 5 545-553 Kent St  SYDNEY NSW 2000","NSW",151.205640000,-33.873830000,"138363667","13138363667","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://agradetraining.nsw.edu.au"
"	51174","A.I.W.T. PTY. LTD.","Australia-International Institute of Workplace Training",True,"Current","ASQA",2003/02/05,2018/02/01,2025/01/31,"","823 Wellington St  WEST PERTH WA 6005","WA",115.847800000,-31.948200000,"109701984","55109701984","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.aiwt.edu.au"
"	45065","ACA Sydney Pty Ltd","Actors Centre Australia, Live At The Forum, MINDCHAMPS ACADEMY",True,"Current","ASQA",2016/12/09,2016/12/09,2023/11/11,"","Shop 30a 23 Norton Street Leichhardt NSW 2040","NSW",151.158380000,-33.887210000,"601586467","13601586467","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.actorscentreaustralia.com.au"
"	91215","Academy of Training Pty Ltd","",True,"Current","ASQA",2006/03/07,2019/09/11,2026/09/10,"","117 Banksia Road  Greenacre NSW 2190","NSW",151.046560000,-33.907000000,"114087937","99114087937","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.academyoftraining.edu.au"
"	4603","Access Australia Group Limited","Access Skills Training",True,"Current","ASQA",1997/10/01,2022/11/01,2029/10/31,"","18-20 St Andrews Ave  BENDIGO VIC 3550","VIC",144.283640000,-36.760200000,"609295776","51627404049","Community Based Adult Education Provider","http://ast.org.au/"
"	90032","ACE Community Colleges Ltd","ACE Community Colleges",True,"Current","ASQA",1995/07/25,2018/05/13,2025/05/12,"","Suite 1 Level 4 29 Molesworth St  LISMORE NSW 2480","NSW",,,"151240630","39151240630","Community Based Adult Education Provider","http://www.acecolleges.edu.au"
"	21159","Adass Israel School Inc","Adass Israel School",True,"Current","VRQA",2002/01/02,2007/01/01,2026/12/31,"","10-12 King Street  ELSTERNWICK VIC 3185","VIC",145.008780000,-37.883760000,"000000000","99209950310","School - Independent",""
"	41332","ADVANCED EDUCATION GROUP PTY LTD","AdvancED Education & Training",True,"Current","ASQA",2015/11/02,2022/11/02,2029/11/01,"","Office 415, 101 Overton Rd  WILLIAMS LANDING VIC 3027","VIC",144.744080000,-37.866810000,"601592401","92601592401","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.advanced.edu.au"
"	41336","Akram Kahla Pty Ltd","Australian Training & Qualification College",True,"Current","ASQA",2015/10/15,2022/10/15,2029/10/14,"","Level 1 372 Chapel Rd  BANKSTOWN NSW 2200","NSW",151.033050000,-33.916300000,"166113159","50166113159","Education/training Business Or Centre: Privately Operated Registered Training Organisation",""
"	70056","Alana Kaye Group Pty Ltd","Alana Kaye College, Alana Kaye Training, Alana Kaye International",True,"Current","ASQA",2010/10/01,2020/06/30,2027/06/29,"","Unit 6 4 Shepherd St  DARWIN NT 0800","NT",130.839990000,-12.458590000,"143526309","50143526309","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.alanakaye.edu.au"
"	45915","Alma Mater College Australia Pty Ltd","",True,"Current","ASQA",2022/09/16,2022/09/16,2024/09/15,"","Level 2 55 Swanston St  MELBOURNE VIC 3000","VIC",144.966680000,-37.816420000,"649462948","49649462948","Education/training Business Or Centre: Privately Operated Registered Training Organisation",""
"	90525","Alphacrucis University College Limited","ALPHACRUCIS COLLEGE LIMITED",True,"Current","ASQA",1994/10/14,2019/07/24,2026/07/23,"","30 Cowper St  PARRAMATTA NSW 2150","NSW",151.007160000,-33.820660000,"072747187","13072747187","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://ac.edu.au"
"	41511","ALPINE TRAINING PTY LTD","ALPINE TRAINING",True,"Current","ASQA",2016/05/26,2016/05/26,2023/05/25,"","27 Tradelink Rd  HILLCREST QLD 4118","QLD",153.030330000,-27.663820000,"607539364","59607539364","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://alpinetraining.edu.au/"
"	41123","AMAZING EDUCATION & TRAINING PTY LTD","",True,"Current","ASQA",2015/04/23,2022/04/23,2029/04/22,"","1 Tallebudgera Creek Rd  BURLEIGH HEADS QLD 4220","QLD",153.440700000,-28.109570000,"163415110","79163415110","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.amazing.edu.au/"
"	0590","AMES Australia","AMES Australia",True,"Current","ASQA",1992/11/01,2019/12/01,2026/11/30,"","Level 4 1 Little Collins St  MELBOURNE VIC 3000","VIC",144.959860000,-37.817200000,"","49056993913","Community Based Adult Education Provider","http://www.ames.net.au"
"	88177","Anglicare NSW South, NSW West & ACT","Anglicare College",True,"Current","ASQA",2008/10/09,2018/11/07,2025/11/06,"","221 London Cct  CANBERRA ACT 2601","ACT",149.132280000,-35.282570000,"","69198255076","Community Based Adult Education Provider","http://www.anglicare.com.au"
"	20749","ASH Pty Ltd","ASHLEY INSTITUTE OF TRAINING, Integracom",True,"Current","ASQA",1999/11/04,2019/12/01,2026/11/30,"","Suite 218, 8-34 Gladstone Park Dr  GLADSTONE PARK VIC 3043","VIC",144.884600000,-37.689210000,"060542789","76060542789","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://ash.edu.au"
"	6153","Asian Pacific Institute","Asian Pacific Institute, International Christian College",True,"Current","ASQA",1998/11/13,2019/06/01,2026/05/31,"","23 Foster St  Newmarket QLD 4051","QLD",153.009140000,-27.439580000,"079961336","76079961336","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.apinstitute.qld.edu.au"
"	90413","Association of Independent Schools NSW","ASSOCIATION OF INDEPENDENT SCHOOLS OF NSW LTD",True,"Current","ASQA",2000/09/12,2019/10/15,2026/10/14,"","Level 12 99 York Street  Sydney NSW 2000","NSW",151.205810000,-33.870160000,"003509073","96003509073","Industry Association","http://www.aisnsw.edu.au"
"	91239","Atkinson Training & Development Pty Ltd","Atkinson Childcare College, Atkinson Training and Development",True,"Current","ASQA",2006/06/01,2017/01/23,2024/01/22,"","35 Chapman St  CHARLESTOWN NSW 2290","NSW",151.692020000,-32.962740000,"116143778","26116143778","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.atkinsontraining.com.au"
"	32237","Aurora Training Institute Pty Ltd","Aurora Training Institute",True,"Current","ASQA",2010/05/31,2020/05/31,2027/05/30,"","Suite 2525/ 2 Acacia Court  Robina QLD 4226","QLD",153.395070000,-28.090970000,"081027634","78081027634","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.aurora.edu.au"
"	41144","AUSTRALASIAN INTERNATIONAL ACADEMY PTY. LTD.","Australasian International Academy Pty Ltd",True,"Current(Re-registration pending)","ASQA",2015/05/07,2015/05/07,2022/05/06,"Registration period expired, registration is taken to continue while a renewal application is considered.","Level 5 545-553 Kent St  SYDNEY NSW 2000","NSW",151.205640000,-33.873830000,"167358910","35167358910","Education/training Business Or Centre: Privately Operated Registered Training Organisation","https://aiacademy.edu.au/"
"	21872","Australasian Lawrence Aged Care College Pty Ltd","AUSTRALASIAN LAWRENCE AGED CARE COLLEGE PTY LTD, ALACC HEALTH COLLEGE, AUSTRALIA",True,"Current","ASQA",2007/01/08,2018/01/23,2025/01/22,"","189 Plenty Rd  PRESTON VIC 3072","VIC",145.005870000,-37.745710000,"122509602","49122509602","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.alacchealth.edu.au"
"	31246","Australia Moreton Education Group Pty Ltd","Queensland Academy of Technology",True,"Current","ASQA",2005/11/09,2022/11/09,2029/11/08,"","Level 4 333 Adelaide Street Brisbane City QLD 4000","QLD",153.029310000,-27.465530000,"105823309","68105823309","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.qat.qld.edu.au"
"	110069","Australian Academy of Nursing Pty Ltd","Australian College of Studies Co.",True,"Current","ASQA",2010/03/07,2020/03/07,2027/03/07,"","Level 5 20 Macquarie Street  Parramatta NSW 2150","NSW",151.002090000,-33.814610000,"079823199","63079823199","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.acos.edu.au"
"	41174","AUSTRALIAN ACADEMY OF TRADES PTY LTD","Queensland International Institute of technology",True,"Current","ASQA",2015/06/13,2022/06/13,2029/06/12,"","Level 3, 108 Margaret St  Brisbane QLD 4000","QLD",153.027060000,-27.473170000,"602704521","91602704521","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.qiit.qld.edu.au"
"	21595","Australian Academy of Vocational Education and Trades Pty Ltd","ACADEMIA INTERNATIONAL, ACADEMIA AUSTRALIA",True,"Current","ASQA",2005/03/18,2020/01/27,2027/01/26,"","Level 8 399 Lonsdale St  MELBOURNE VIC 3000","VIC",144.960660000,-37.812970000,"110314906","19110314906","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.academia21.com"
